FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
120715;2300;;;26,3;
120716;0000;;;236;
120716;0100;;;176;
120716;0200;;;128,8;
120716;0300;;;130,8;
120716;0400;;;26,64;
120716;0500;;;24,95;
120716;0600;;;12,14;
120716;0700;;;14,16;
120716;0800;;;13,49;
120716;0900;;;;
120716;1000;;;;
120716;1100;;;;
120716;1200;;;;
120716;1300;;;;
120716;1400;;;;
120716;1500;;;;
120716;1600;;;;
120716;1700;;;;
120716;1800;;;;
120716;1900;;;;
120716;2000;;;;
120716;2100;;;;
120716;2200;;;;
120716;2300;;;;
120717;0000;;;;
120717;0100;;;;
120717;0200;;;;
120717;0300;;;;
120717;0400;;;;
120717;0500;;;;
120717;0600;;;;
120717;0700;;;;
120717;0800;;;999;
120717;0900;;;999;
120717;1000;;;23,64;
120717;1100;;;29,02;
120717;1200;;;50,58;
120717;1300;;;37,7599;
120717;1400;;;29,66;
120717;1500;;;33,02;
120717;1600;;;55,9399;
120717;1700;;;49,87;
120717;1800;;;122;
120717;1900;;;546,1;
120717;2000;;;288,6;
120717;2100;;;329,7;
120717;2200;;;510,4;
120717;2300;;;329,7;
120718;0000;;;178;
120718;0100;;;223,9;
120718;0200;;;299,4;
120718;0300;;;279,2;
120718;0400;;;153,8;
120718;0500;;;54,6299;
120718;0600;;;42,49;
120718;0700;;;72,84;
120718;0800;;;43,16;
120718;0900;;;34,39;
120718;1000;;;24,95;
120718;1100;;;29,67;
120718;1200;;;42,14;
120718;1300;;;41,8;
120718;1400;;;33,71;
120718;1500;;;28,32;
120718;1600;;;26,29;
120718;1700;;;36,0699;
120718;1800;;;69,4398;
120718;1900;;;55,28;
120718;2000;;;60,68;
120718;2100;;;124,7;
120718;2200;;;53,9399;
120718;2300;;;25,28;
120719;0000;;;24,95;
120719;0100;;;13,48;
120719;0200;;;18,2;
120719;0300;;;15,51;
120719;0400;;;15,51;
120719;0500;;;19,55;
120719;0600;;;14,16;
120719;0700;;;22,93;
120719;0800;;;26,3;
120719;0900;;;26,3;
120719;1000;;;26,97;
120719;1100;;;49,89;
120719;1200;;;35,06;
120719;1300;;;39,1;
120719;1400;;;37,75;
120719;1500;;;33,04;
120719;1600;;;31,69;
120719;1700;;;39,78;
120719;1800;;;137,5;
120719;1900;;;200,9;
120719;2000;;;132,1;
120719;2100;;;583,198;
120719;2200;;;388,4;
120719;2300;;;279,8;
120720;0000;;;251,5;
120720;0100;;;85;
120720;0200;;;86,2998;
120720;0300;;;81,6;
120720;0400;;;63,4;
120720;0500;;;68,7898;
120720;0600;;;44,5099;
120720;0700;;;52,6;
120720;0800;;;88,2998;
120720;0900;;;110,6;
120720;1000;;;83,6;
120720;1100;;;1000;
120720;1200;;;108,6;
120720;1300;;;74,1598;
120720;1400;;;17,53;
120720;1500;;;28,99;
120720;1600;;;31,01;
120720;1700;;;49,8799;
120720;1800;;;43,8199;
120720;1900;;;200,2;
120720;2000;;;100,5;
120720;2100;;;66,75;
120720;2200;;;34,3799;
120720;2300;;;24,95;
120721;0000;;;37,08;
120721;0100;;;35,73;
120721;0200;;;40,45;
120721;0300;;;73,49;
120721;0400;;;85,6;
120721;0500;;;37,08;
120721;0600;;;38,43;
120721;0700;;;51,24;
120721;0800;;;63,3799;
120721;0900;;;48,8799;
120721;1000;;;53,2599;
120721;1100;;;35,73;
120721;1200;;;69,4398;
120721;1300;;;33,04;
120721;1400;;;16,18;
120721;1500;;;12,81;
120721;1600;;;26,97;
120721;1700;;;55,28;
120721;1800;;;91;
120721;1900;;;136,2;
120721;2000;;;254,8;
120721;2100;;;366,8;
120721;2200;;;210,4;
120721;2300;;;170,6;
120722;0000;;;164,5;
120722;0100;;;162,5;
120722;0200;;;70,1299;
120722;0300;;;41,8;
120722;0400;;;35,74;
120722;0500;;;29,67;
120722;0600;;;31,02;
120722;0700;;;31,02;
120722;0800;;;46,53;
120722;0900;;;13,15;
120722;1000;;;15,51;
120722;1100;;;15,51;
120722;1200;;;18,88;
120722;1300;;;19,55;
120722;1400;;;20,23;
120722;1500;;;20,23;
120722;1600;;;14,16;
120722;1700;;;36,41;
120722;1800;;;78,8799;
120722;1900;;;331,7;
120722;2000;;;319,6;
120722;2100;;;277,1;
120722;2200;;;126,8;
120722;2300;;;84,2998;
120723;0000;;;52,59;
120723;0100;;;115,3;
120723;0200;;;40,46;
120723;0300;;;66,4198;
120723;0400;;;29,67;
120723;0500;;;29,67;
120723;0600;;;30,01;
120723;0700;;;20,23;
120723;0800;;;31,02;
120723;0900;;;46,52;
120723;1000;;;47,2;
120723;1100;;;36,41;
120723;1200;;;75,5099;
120723;1300;;;67,4198;
120723;1400;;;100,5;
120723;1500;;;140,9;
120723;1600;;;180;
120723;1700;;;220,5;
120723;1800;;;240,7;
120723;1900;;;176;
120723;2000;;;221,8;
120723;2100;;;153,7;
120723;2200;;;273;
120723;2300;;;406,5;
120724;0000;;;236,6;
120724;0100;;;170,6;
120724;0200;;;175,3;
120724;0300;;;35,73;
120724;0400;;;28,32;
120724;0500;;;18,2;
120724;0600;;;15,51;
120724;0700;;;8,09;
120724;0800;;;8,76999;
120724;0900;;;17,53;
120724;1000;;;15,51;
120724;1100;;;21,58;
120724;1200;;;25,63;
120724;1300;;;21,58;
120724;1400;;;14,83;
120724;1500;;;15,51;
120724;1600;;;14,83;
120724;1700;;;26,97;
120724;1800;;;65,3999;
